id,nat_dex,0,type1,type2,is_mega,is_gmax,is_legend,is_mythical,is_ultra_beast,is_paradox,generation,color,shape
0,1,bulbasaur,grass,poison,FALSE,FALSE,FALSE,FALSE,FALSE,,1,green,quadruped
1,2,ivysaur,grass,poison,FALSE,FALSE,FALSE,FALSE,FALSE,,1,green,quadruped
2,3,venusaur,grass,poison,FALSE,FALSE,FALSE,FALSE,FALSE,,1,green,quadruped
3,3,venusaur_female,grass,poison,FALSE,FALSE,FALSE,FALSE,FALSE,,1,green,quadruped
4,3,venusaur_gmax,grass,poison,FALSE,TRUE,FALSE,FALSE,FALSE,,8,green,quadruped
5,3,venusaur_mega,grass,poison,TRUE,FALSE,FALSE,FALSE,FALSE,,6,green,quadruped
6,4,charmander,fire,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,red,bipedtail
7,5,charmeleon,fire,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,red,bipedtail
8,6,charizard,fire,flying,FALSE,FALSE,FALSE,FALSE,FALSE,,1,red,bipedtail
9,6,charizard_gmax,fire,flying,FALSE,TRUE,FALSE,FALSE,FALSE,,8,red,bipedtail
10,6,charizard_x,fire,dragon,TRUE,FALSE,FALSE,FALSE,FALSE,,6,black,bipedtail
11,6,charizard_y,fire,flying,TRUE,FALSE,FALSE,FALSE,FALSE,,6,red,bipedtail
12,7,squirtle,water,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,blue,bipedtail
13,8,wartortle,water,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,blue,bipedtail
14,9,blastoise,water,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,blue,bipedtail
15,9,blastoise_gmax,water,,FALSE,TRUE,FALSE,FALSE,FALSE,,8,blue,bipedtail
16,9,blastoise_mega,water,,TRUE,FALSE,FALSE,FALSE,FALSE,,6,blue,bipedtail
17,10,caterpie,bug,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,green,insectoid
18,11,metapod,bug,,FALSE,FALSE,FALSE,FALSE,FALSE,,1,green,snake
